	mass_A
t	frame	x	y	r	ω	pixelx	pixely
6.646000E1	1.329200E5	-1.598840E1	2.414884E1	2.896196E1	1.193428E3	6.992243E1	4.087027E1
6.646200E1	1.329240E5	-1.689100E1	2.332738E1	2.880057E1	1.147923E3	6.901983E1	4.169172E1
6.646400E1	1.329280E5	-1.783022E1	2.274027E1	2.889700E1	1.161817E3	6.808061E1	4.227884E1
6.646600E1	1.329320E5	-1.876173E1	2.192452E1	2.885632E1	1.233894E3	6.714909E1	4.309458E1
6.646800E1	1.329360E5	-1.963868E1	2.103421E1	2.877700E1	1.262447E3	6.627214E1	4.398490E1
6.647000E1	1.329400E5	-2.052483E1	2.009604E1	2.872489E1	1.276013E3	6.538600E1	4.492306E1
6.647200E1	1.329440E5	-2.139758E1	1.917270E1	2.873062E1	1.269171E3	6.451325E1	4.584641E1
6.647400E1	1.329480E5	-2.221685E1	1.819629E1	2.871747E1	1.267736E3	6.369398E1	4.682282E1
6.647600E1	1.329520E5	-2.299509E1	1.719633E1	2.871390E1	1.199126E3	6.291573E1	4.782278E1
6.647800E1	1.329560E5	-2.350940E1	1.617088E1	2.853400E1	1.160149E3	6.240142E1	4.884823E1
6.648000E1	1.329600E5	-2.414314E1	1.517405E1	2.851566E1	1.222226E3	6.176769E1	4.984506E1
6.648200E1	1.329640E5	-2.482352E1	1.412071E1	2.855874E1	1.184711E3	6.108731E1	5.089839E1
6.648400E1	1.329680E5	-2.525944E1	1.309921E1	2.845397E1	1.193656E3	6.065139E1	5.191989E1
6.648600E1	1.329720E5	-2.579677E1	1.195176E1	2.843093E1	1.164047E3	6.011406E1	5.306735E1
6.648800E1	1.329760E5	-2.616898E1	1.097597E1	2.837758E1	1.148956E3	5.974185E1	5.404314E1
6.649000E1	1.329800E5	-2.665544E1	9.840416E0	2.841384E1	1.173262E3	5.925539E1	5.517869E1
6.649200E1	1.329840E5	-2.694275E1	8.786175E0	2.833917E1	1.082921E3	5.896808E1	5.623293E1
6.649400E1	1.329880E5	-2.715480E1	7.751137E0	2.823940E1	1.120845E3	5.875602E1	5.726797E1
6.649600E1	1.329920E5	-2.755813E1	6.655836E0	2.835049E1	1.182370E3	5.835270E1	5.836327E1
6.649800E1	1.329960E5	-2.772757E1	5.490971E0	2.826604E1	1.147324E3	5.818326E1	5.952814E1
6.650000E1	1.330000E5	-2.782311E1	4.401146E0	2.816905E1	1.110022E3	5.808772E1	6.061796E1
6.650200E1	1.330040E5	-2.777170E1	3.292617E0	2.796621E1	1.296150E3	5.813913E1	6.172649E1
6.650400E1	1.330080E5	-2.784011E1	1.851163E0	2.790159E1	1.306471E3	5.807071E1	6.316795E1
6.650600E1	1.330120E5	-2.780704E1	7.454172E-1	2.781703E1	1.179050E3	5.810379E1	6.427369E1
6.650800E1	1.330160E5	-2.777861E1	-4.422258E-1	2.778213E1	1.171597E3	5.813222E1	6.546133E1
6.651000E1	1.330200E5	-2.770989E1	-1.525375E0	2.775185E1	1.147320E3	5.820093E1	6.654448E1
6.651200E1	1.330240E5	-2.760817E1	-2.659012E0	2.773592E1	1.151875E3	5.830266E1	6.767812E1
6.651400E1	1.330280E5	-2.737068E1	-3.729044E0	2.762354E1	1.246588E3	5.854015E1	6.874815E1
6.651600E1	1.330320E5	-2.723402E1	-5.041472E0	2.769672E1	1.373886E3	5.867681E1	7.006058E1
